INSTNM,STABBR,CNTLAFFI,IS_R1,COREXP,ENRTOT
Georgia State University,GA,1.0,1,830594852.0,34944.0
University of Georgia,GA,1.0,1,1807120161.0,43146.0
Gordon State College,GA,1.0,0,30432202.0,3179.0
Interdenominational Theological Center,GA,4.0,0,8273462.0,60.0
LaGrange College,GA,4.0,0,23805996.0,813.0
Life University,GA,3.0,0,70067399.0,2714.0
Herzing University-Atlanta,GA,3.0,0,7510883.0,435.0
Mercer University,GA,3.0,0,265908169.0,9196.0
Morehouse College,GA,3.0,0,112356290.0,2847.0
Morehouse School of Medicine,GA,3.0,0,260707830.0,967.0
Oglethorpe University,GA,3.0,0,35869273.0,1425.0
Paine College,GA,4.0,0,11795847.0,390.0
Piedmont University,GA,4.0,0,36048352.0,1857.0
Reinhardt University,GA,4.0,0,29373495.0,1233.0
Savannah College of Art and Design,GA,3.0,0,348278490.0,18550.0
Savannah State University,GA,1.0,0,50976342.0,3193.0
Shorter University,GA,4.0,0,23564932.0,1318.0
Spelman College,GA,3.0,0,118636631.0,3417.0
Thomas University,GA,3.0,0,19254205.0,1471.0
Toccoa Falls College,GA,4.0,0,14854203.0,3067.0
Truett McConnell University,GA,4.0,0,20902992.0,2615.0
Valdosta State University,GA,1.0,0,147941016.0,10262.0
Wesleyan College,GA,4.0,0,19831584.0,531.0
University of West Georgia,GA,1.0,0,200371312.0,14337.0
Young Harris College,GA,4.0,0,22792183.0,1457.0
Chaminade University of Honolulu,HI,4.0,0,58385127.0,2709.0
University of Hawaii at Hilo,HI,1.0,0,122522839.0,2668.0
University of Hawaii at Manoa,HI,1.0,1,1068727412.0,20028.0
Hawaii Pacific University,HI,3.0,0,100472767.0,4921.0
University of Hawaii Maui College,HI,1.0,0,52631261.0,2792.0
University of Hawaii-West Oahu,HI,1.0,0,60960044.0,2814.0
Boise Bible College,ID,4.0,0,2585084.0,94.0
Boise State University,ID,1.0,0,442541650.0,27198.0
Idaho State University,ID,1.0,0,290756264.0,13061.0
University of Idaho,ID,1.0,1,472585815.0,12286.0
The College of Idaho,ID,3.0,0,34939392.0,1090.0
Lewis-Clark State College,ID,1.0,0,50877573.0,3801.0
